Embryo_ID,Area,Mean,Min,Max,Median,Slice,Frame,MinThr,MaxThr
121216Spry_Y8_mov,0,NaN,65535,23,NaN,41,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,17,NaN,42,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,18,NaN,43,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,16,NaN,44,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,15,NaN,45,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,22,NaN,46,2,40,65535
121216Spry_Y8_mov,0.077,54,54,54,54,47,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,19,NaN,48,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,15,NaN,49,2,40,65535
121216Spry_Y8_mov,274.588,62.064,40,170,57,1,3,40,65535
121216Spry_Y8_mov,251.763,61.018,40,190,56,2,3,40,65535
121216Spry_Y8_mov,261.873,66.694,40,189,60,3,3,40,65535
121216Spry_Y8_mov,276.273,68.713,40,241,62,4,3,40,65535
121216Spry_Y8_mov,275.354,69.586,40,299,62,5,3,40,65535
121216Spry_Y8_mov,238.359,64.542,40,202,58,6,3,40,65535
121216Spry_Y8_mov,204.198,65.371,40,234,56,7,3,40,65535
121216Spry_Y8_mov,163.297,66.082,40,232,57,8,3,40,65535
121216Spry_Y8_mov,143.383,66.33,40,257,55,9,3,40,65535
121216Spry_Y8_mov,129.29,64.303,40,201,56,10,3,40,65535
121216Spry_Y8_mov,113.129,61.666,40,165,56,11,3,40,65535
121216Spry_Y8_mov,89.231,61.229,40,183,56,12,3,40,65535
121216Spry_Y8_mov,72.687,57.734,40,158,54,13,3,40,65535
121216Spry_Y8_mov,40.671,53.723,40,134,50,14,3,40,65535
121216Spry_Y8_mov,41.131,55.324,40,168,51,15,3,40,65535
121216Spry_Y8_mov,47.718,53.878,40,124,49,16,3,40,65535
121216Spry_Y8_mov,45.114,56.211,40,114,53,17,3,40,65535
121216Spry_Y8_mov,44.577,53.445,40,111,50,18,3,40,65535
121216Spry_Y8_mov,38.067,57.056,40,135,51,19,3,40,65535
121216Spry_Y8_mov,24.28,52.571,40,104,48,20,3,40,65535
