Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, ,
122717Spry_BJ6,52,ICM,I,12247,143.03,211.46,29.289,1003,1.23E+07,503.04,6.16E+06,47.894,5.87E+05,364.63,4.47E+06,789.7,9.67E+06,,
122717Spry_BJ6,53,ICM,I,9557,82.684,227.5,26.954,1133.6,1.08E+07,371.19,3.55E+06,286.21,2.74E+06,446.9,4.27E+06,120.84,1.15E+06,,
122717Spry_BJ6,54,TE,I,6620,398.73,328.39,27.898,769.18,5.09E+06,174.51,1.16E+06,27.154,1.80E+05,406.93,2.69E+06,104.28,6.90E+05,,
122717Spry_BJ6,55,TE,I,10284,96.435,335.44,31.919,698.83,7.19E+06,187.89,1.93E+06,40.505,4.17E+05,389.86,4.01E+06,191.36,1.97E+06,,
122717Spry_BJ6,55.2,ICM,I,10284,97,301,40,363.598,,287.054,,115.218,,347.156,,71.149,,,
122717Spry_BJ6,56,TE,I,9596,218.24,381.33,28.259,642.95,6.17E+06,204.7,1.96E+06,28.234,2.71E+05,392.03,3.76E+06,110.21,1.06E+06,,
122717Spry_BJ6,57,TE,I,7746,418.26,171.28,28.35,1032.6,8.00E+06,203.24,1.57E+06,31.134,2.41E+05,384.83,2.98E+06,130.69,1.01E+06,,
122717Spry_BJ6,58,TE,I,8985,438.54,212.19,27.214,804.16,7.23E+06,203.2,1.83E+06,31.967,2.87E+05,402.54,3.62E+06,135.5,1.22E+06,,
122717Spry_BJ6,59,ICM,I,657,96.233,247.24,26.927,1072.6,7.05E+05,548.48,3.60E+05,234.92,1.54E+05,482.58,3.17E+05,117.35,77098,,
122717Spry_BJ6,60,TE,I,5974,353.04,342.65,30.589,774.38,4.63E+06,175.16,1.05E+06,28.135,1.68E+05,422.68,2.53E+06,144.98,8.66E+05,,
122717Spry_BJ6,61,ICM,I,7709,156.77,254.97,30.83,865.04,6.67E+06,668.13,5.15E+06,44.672,3.44E+05,390.56,3.01E+06,414.35,3.19E+06,,
122717Spry_BJ6,62,ICM,I,10706,150.14,297.3,31.579,929.59,9.95E+06,557.04,5.96E+06,46.875,5.02E+05,392.31,4.20E+06,540.92,5.79E+06,,
122717Spry_BJ6,63,TE,I,7764,441.95,243.99,30.693,861.71,6.69E+06,217.64,1.69E+06,32.038,2.49E+05,361.84,2.81E+06,145.6,1.13E+06,,
122717Spry_BJ6,64,TE,I,7899,303.1,335.79,33.041,1089.9,8.61E+06,197.69,1.56E+06,27.417,2.17E+05,420.75,3.32E+06,127.6,1.01E+06,,
122717Spry_BJ6,65,TE,I,8200,365.84,137.72,32.702,979.87,8.04E+06,171.89,1.41E+06,29.575,2.43E+05,362.17,2.97E+06,132.65,1.09E+06,,
122717Spry_BJ6,66,ICM,I,8612,85.236,311.45,31.14,747.76,6.44E+06,467.49,4.03E+06,194.16,1.67E+06,350.93,3.02E+06,96.103,8.28E+05,,
