Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum
041817Spry_AI5,54,ICM,I,9720,118.12,199.23,50.102,378.92,3.68E+06,18.514,1.80E+05,38.598,3.75E+05,825.32,8.02E+06,163.09,1.59E+06
041817Spry_AI5,55,TE,I,11648,406.58,229.59,54.608,1376.1,1.60E+07,24.416,2.84E+05,22.413,2.61E+05,1002.8,1.17E+07,44.54,5.19E+05
041817Spry_AI5,56,TE,I,8179,233.74,390.83,54.471,840.37,6.87E+06,20.437,1.67E+05,20.293,1.66E+05,970.15,7.93E+06,88.132,7.21E+05
041817Spry_AI5,57,TE,I,8944,72.636,218.41,57.491,318.55,2.85E+06,16.217,1.45E+05,19.507,1.74E+05,981.63,8.78E+06,43.241,3.87E+05
041817Spry_AI5,58,ICM,I,15870,115.45,260.76,59.059,385.97,6.13E+06,16.953,2.69E+05,35.008,5.56E+05,930.68,1.48E+07,181.37,2.88E+06
041817Spry_AI5,59,TE,I,9670,284.45,382.75,57.153,756.07,7.31E+06,21.593,2.09E+05,21.378,2.07E+05,918.98,8.89E+06,125.99,1.22E+06
041817Spry_AI5,60,TE,I,9105,167.79,367.19,58.179,525.72,4.79E+06,18.633,1.70E+05,18.605,1.69E+05,938.42,8.54E+06,82.707,7.53E+05
041817Spry_AI5,61,ICM,I,11225,90.417,258.05,64.05,317.02,3.56E+06,16.653,1.87E+05,139.16,1.56E+06,954.07,1.07E+07,37.294,4.19E+05
041817Spry_AI5,62,ICM,I,8492,106.86,215.17,63.664,283.76,2.41E+06,16.295,1.38E+05,30.352,2.58E+05,855.65,7.27E+06,142.52,1.21E+06
041817Spry_AI5,63,TE,I,13919,354.48,349.6,67.281,952.44,1.33E+07,19.704,2.74E+05,19.081,2.66E+05,879.11,1.22E+07,40.322,5.61E+05
041817Spry_AI5,64,TE,I,9071,157.12,343.62,72.919,356.03,3.23E+06,16.295,1.48E+05,17.069,1.55E+05,879.56,7.98E+06,50.106,4.55E+05
041817Spry_AI5,65,TE,I,13940,246.93,144.69,76.459,713.78,9.95E+06,15.971,2.23E+05,16.863,2.35E+05,1076.9,1.50E+07,45.11,6.29E+05
041817Spry_AI5,66,TE,I,14158,155.24,160.24,74.076,213.78,3.03E+06,14.09,1.99E+05,14.748,2.09E+05,1056.3,1.50E+07,36.543,5.17E+05
041817Spry_AI5,67,TE,I,11572,337.03,162.52,73.536,588.73,6.81E+06,18.002,2.08E+05,18.086,2.09E+05,853.87,9.88E+06,30.592,3.54E+05
041817Spry_AI5,68,TE,I,16479,125.07,190.33,74.221,169.61,2.80E+06,14.242,2.35E+05,15.331,2.53E+05,905.21,1.49E+07,44.128,7.27E+05
041817Spry_AI5,69,TE,I,16830,389.15,200.17,72.193,565.99,9.53E+06,18.763,3.16E+05,18.081,3.04E+05,926.62,1.56E+07,33.307,5.61E+05
041817Spry_AI5,70,TE,I,8166,289.56,363.44,73.647,649.19,5.30E+06,18.376,1.50E+05,17.164,1.40E+05,1009.5,8.24E+06,44.053,3.60E+05
041817Spry_AI5,71,TE,I,20551,122.39,291.29,76.596,185.95,3.82E+06,14.819,3.05E+05,18.006,3.70E+05,856.98,1.76E+07,49.061,1.01E+06
041817Spry_AI5,72,TE,I,14200,391.59,269.64,78.11,686.04,9.74E+06,17.115,2.43E+05,16.693,2.37E+05,1015.8,1.44E+07,31.804,4.52E+05
041817Spry_AI5,73,TE,I,9192,234,342.82,80.376,425.52,3.91E+06,14.682,1.35E+05,14.835,1.36E+05,1010.7,9.29E+06,50.381,4.63E+05
041817Spry_AI5,74,TE,I,13510,292.09,176.63,84.455,706.29,9.54E+06,16.167,2.18E+05,15.409,2.08E+05,1145.8,1.55E+07,30.923,4.18E+05
041817Spry_AI5,75,TE,I,15862,357.79,211.51,84.925,765.27,1.21E+07,16.867,2.68E+05,16.864,2.67E+05,1074,1.70E+07,32.933,5.22E+05
041817Spry_AI5,76,TE,I,14654,178.47,297.98,87.277,196.7,2.88E+06,14.067,2.06E+05,14.794,2.17E+05,961.49,1.41E+07,48.48,7.10E+05
041817Spry_AI5,77,TE,I,6902,338.19,294.14,87.295,705.41,4.87E+06,16.349,1.13E+05,15.727,1.09E+05,1070.7,7.39E+06,41.906,2.89E+05
041817Spry_AI5,78,TE,I,11862,259.42,309.92,90.035,319.47,3.79E+06,14.873,1.76E+05,15.505,1.84E+05,1111.2,1.32E+07,43.182,5.12E+05
041817Spry_AI5,79,TE,M,4572,211.79,208.32,91.407,562.67,2.57E+06,13.829,63226,13.266,60652,1068.3,4.88E+06,23.566,1.08E+05
041817Spry_AI5,80,TE,M,5362,200.91,230.99,91.535,500.68,2.68E+06,13.716,73545,13.37,71690,1028.8,5.52E+06,24.004,1.29E+05
041817Spry_AI5,81,TE,I,14947,310.24,252.8,91.761,622.89,9.31E+06,15.026,2.25E+05,16.01,2.39E+05,1114.6,1.67E+07,32.271,4.82E+05
